name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,340,29636089,,yes,,,,"POLYGON ((-71.1376729 42.3400005, -71.1378158 42.3401117, -71.137766 42.340147, -71.137732 42.3401205, -71.1376784 42.3401584, -71.1375696 42.3400736, -71.1376729 42.3400005))",POINT (-71.1376885 42.3400842),176.0,1894.3
,341,29636115,,yes,,,,"POLYGON ((-71.1379989 42.3357431, -71.1380454 42.3357869, -71.1380233 42.3357999, -71.1380749 42.3358486, -71.1379786 42.3359048, -71.1378805 42.3358123, -71.1379989 42.3357431))",POINT (-71.137981 42.3358246),146.4,1575.4
,342,29636175,,yes,,,,"POLYGON ((-71.133026 42.3416741, -71.133208 42.3417005, -71.133158 42.3418911, -71.1330086 42.3418695, -71.1330407 42.341747, -71.1330081 42.3417423, -71.133026 42.3416741))",POINT (-71.1331029 42.3417796),291.5,3137.8
,343,29636222,,yes,,,,"POLYGON ((-71.1330133 42.3434646, -71.1331166 42.3434934, -71.1330907 42.3435445, -71.133155 42.3435624, -71.1331202 42.3436312, -71.1329525 42.3435846, -71.1330133 42.3434646))",POINT (-71.1330532 42.3435518),175.5,1889.3
,344,29636242,,yes,,,,"POLYGON ((-71.1313186 42.3423085, -71.1314683 42.3423378, -71.1314474 42.3423965, -71.1312977 42.3423672, -71.1313186 42.3423085))",POINT (-71.131383 42.3423525),86.0,925.4
,345,29636251,,yes,,,,"POLYGON ((-71.1351723 42.3413269, -71.1353427 42.3414356, -71.1353045 42.3414685, -71.1353447 42.3414941, -71.1352871 42.3415437, -71.1350767 42.3414093, -71.1351723 42.3413269))",POINT (-71.1352204 42.3414329),255.3,2747.7
,346,29636320,,yes,,,,"POLYGON ((-71.1380532 42.340365, -71.1381685 42.3404556, -71.1380286 42.3405535, -71.1379269 42.3404736, -71.138008 42.3404168, -71.1379945 42.3404062, -71.1380532 42.340365))",POINT (-71.1380468 42.3404607),204.2,2197.6
,347,29636431,,yes,,,,"POLYGON ((-71.1487034 42.3407032, -71.1487488 42.3408405, -71.1485994 42.3408677, -71.1485539 42.3407305, -71.1487034 42.3407032))",POINT (-71.1486514 42.3407855),198.9,2141.4
,348,29636502,,yes,,,,"POLYGON ((-71.1350715 42.3423202, -71.1352314 42.3423635, -71.1351928 42.342442, -71.1350329 42.3423987, -71.1350715 42.3423202))",POINT (-71.1351322 42.3423811),130.1,1400.3
,349,29636504,,yes,,,,"POLYGON ((-71.1377012 42.3376305, -71.1377708 42.3378271, -71.1372723 42.3379242, -71.1372055 42.337735, -71.1373122 42.3377143, -71.1373228 42.3377441, -71.1376408 42.3376822, -71.1376277 42.3376449, -71.1377012 42.3376305))",POINT (-71.1374905 42.3377894),834.1,8978.7
,350,29636541,,yes,,,,"POLYGON ((-71.1376045 42.342051, -71.1376911 42.342109, -71.1375552 42.3422208, -71.1374685 42.3421629, -71.1376045 42.342051))",POINT (-71.1375798 42.3421359),160.7,1729.8
,351,29636621,,yes,,,,"POLYGON ((-71.1465421 42.3436821, -71.1466318 42.3437231, -71.1463016 42.3441313, -71.1464045 42.3441783, -71.146714 42.3438093, -71.1468164 42.3438562, -71.1465074 42.3442247, -71.1464503 42.3441985, -71.146394 42.3442662, -71.1462126 42.3441831, -71.1462641 42.3441213, -71.1462075 42.3440955, -71.1465421 42.3436821))",POINT (-71.1464909 42.3439956),1094.5,11781.5
,352,29636692,,yes,,,,"POLYGON ((-71.135571 42.3424135, -71.1357198 42.3424725, -71.1356682 42.342544, -71.1355194 42.342485, -71.135571 42.3424135))",POINT (-71.1356196 42.3424788),125.2,1347.1
,353,29636737,,yes,,,,"POLYGON ((-71.1322597 42.3439305, -71.132369 42.3439571, -71.1323397 42.3440237, -71.1322302 42.343997, -71.1322597 42.3439305))",POINT (-71.1322997 42.3439771),73.8,793.9
,354,29636810,,yes,,,,"POLYGON ((-71.1477566 42.3392009, -71.1478769 42.3392329, -71.147813 42.3393656, -71.1477227 42.3393417, -71.1476925 42.3393337, -71.1477566 42.3392009))",POINT (-71.1477847 42.3392833),164.9,1774.9
,355,29636900,,yes,,,,"POLYGON ((-71.1336463 42.3413316, -71.1337657 42.3413648, -71.1337482 42.3413993, -71.133847 42.3414268, -71.1338178 42.3414845, -71.1337398 42.3414629, -71.1337287 42.3414848, -71.1335886 42.3414457, -71.1336463 42.3413316))",POINT (-71.1337087 42.3414174),206.4,2222.1
,356,29636988,,yes,,,,"POLYGON ((-71.1464339 42.339547, -71.1465096 42.33959, -71.1465678 42.3396231, -71.1464602 42.3397273, -71.1463263 42.3396513, -71.1464339 42.339547))",POINT (-71.1464471 42.3396372),202.5,2180.1
